ud.car_no,_c1,dd
云A000WT,4,0.8
云A003XQ,1,0.2
云A005KE,1,0.2
云A00T95,2,0.4
云A016TA,3,0.6000000000000001
云A01H04,1,0.2
云A022DB,9,1.8
云A025TS,1,0.2
云A039AU,2,0.4
云A03L00,1,0.2
云A03Y96,1,0.2
云A04B27,1,0.2
云A04P08,1,0.2
云A04Y29,1,0.2
云A053RG,2,0.4
云A056HK,1,0.2
云A057YV,1,0.2
云A05S69,1,0.2
云A062BY,4,0.8
云A069XN,2,0.4
云A06Z15,2,0.4
云A070SR,1,0.2
云A07L07,1,0.2
云A080VW,1,0.2
云A083BF,1,0.2
云A08F92,2,0.4
云A0AF25,3,0.6000000000000001
云A0B09B,1,0.2
云A0BF11,1,0.2
云A0BX81,1,0.2
云A0C97Z,1,0.2
云A0EJ66,1,0.2
云A0F5X5,1,0.2
云A0F80V,5,1.0
云A0G6U8,1,0.2
云A0GR86,1,0.2
云A0GS28,3,0.6000000000000001
云A0H02G,2,0.4
云A0H2M3,2,0.4
云A0H3F1,2,0.4
云A0H3K6,1,0.2
云A0HM95,1,0.2
云A0JD05,1,0.2
云A0L3J7,1,0.2
云A0L7E9,1,0.2
云A0M0V8,3,0.6000000000000001
云A0M2R1,1,0.2
云A0MY97,1,0.2
云A0N7S1,1,0.2
云A0Q0T8,3,0.6000000000000001
云A0QQ13,5,1.0
云A0RR80,1,0.2
云A0S5X3,1,0.2
云A0T1C8,1,0.2
云A0T3L9,1,0.2
云A0T9D0,1,0.2
云A0U3Q5,3,0.6000000000000001
云A0UK16,1,0.2
云A0XG68,1,0.2
云A0Y5N8,1,0.2
云A0YV19,4,0.8
云A0Z1P5,1,0.2
云A101QZ,1,0.2
云A103BA,2,0.4
云A10U29,2,0.4
云A113UV,1,0.2
云A123VM,1,0.2
云A131HZ,3,0.6000000000000001
云A153BG,1,0.2
云A15Y22,15,3.0
云A16U81,1,0.2
云A185JP,1,0.2
云A18V09,2,0.4
云A1922R,2,0.4
云A192GC,3,0.6000000000000001
云A1A0L2,2,0.4
云A1A8H9,1,0.2
云A1A8Q9,2,0.4
云A1B25X,2,0.4
云A1B3A3,3,0.6000000000000001
云A1C2N6,1,0.2
云A1CU70,1,0.2
云A1D6Y8,1,0.2
云A1EK36,1,0.2
云A1G7Z1,1,0.2
云A1H26B,1,0.2
云A1KT05,1,0.2
云A1LD18,1,0.2
云A1N5Q9,2,0.4
云A1N68Q,2,0.4
云A1Q6H7,5,1.0
云A1RR60,5,1.0
云A1RU00,1,0.2
云A1T0Y3,2,0.4
云A1U1F9,1,0.2
云A1V2G7,1,0.2
云A1W2K5,1,0.2
云A1X2G1,1,0.2
云A1X3P7,7,1.4000000000000001
云A1X5P8,1,0.2
云A1YN76,1,0.2
云A1Z9J6,1,0.2
云A200GY,4,0.8
云A202NM,1,0.2
云A20T01,1,0.2
云A211NA,1,0.2
云A221DB,1,0.2
云A227AL,1,0.2
云A237DE,1,0.2
云A23V55,2,0.4
云A23Y55,2,0.4
云A255DF,2,0.4
云A260TY,1,0.2
云A26U27,1,0.2
云A26X28,8,1.6
云A273KN,1,0.2
云A275QT,1,0.2
云A27L17,5,1.0
云A281XF,3,0.6000000000000001
云A2853F,1,0.2
云A28C90,2,0.4
云A28M89,6,1.2000000000000002
云A28T60,1,0.2
云A29Q39,2,0.4
云A29X79,2,0.4
云A2A1Q8,6,1.2000000000000002
云A2A32U,2,0.4
云A2B9F7,1,0.2
云A2BT67,1,0.2
云A2C2Q3,1,0.2
云A2C86N,2,0.4
云A2CZ23,1,0.2
云A2D13D,1,0.2
云A2D52M,5,1.0
云A2E06L,3,0.6000000000000001
云A2E59R,1,0.2
云A2E62J,3,0.6000000000000001
云A2EC22,1,0.2
云A2G0M3,1,0.2
云A2H10G,2,0.4
云A2JP60,1,0.2
云A2KY53,1,0.2
云A2PH58,1,0.2
云A2PW95,1,0.2
云A2S7T1,1,0.2
云A2S8R3,1,0.2
云A2S9F3,1,0.2
云A2T22D,1,0.2
云A2U1U6,1,0.2
云A2U2U8,1,0.2
云A2U6U9,1,0.2
云A2U9M9,2,0.4
云A2UE29,3,0.6000000000000001
云A2V3H6,1,0.2
云A2VH89,1,0.2
云A2VR27,1,0.2
云A2XM59,2,0.4
云A2Y3P1,2,0.4
云A303EC,2,0.4
云A310FM,3,0.6000000000000001
云A316RG,2,0.4
云A317XG,1,0.2
云A319BE,1,0.2
云A324GJ,4,0.8
云A32G68,1,0.2
云A347YF,2,0.4
云A353QZ,5,1.0
云A355NE,2,0.4
云A366LY,1,0.2
云A377PZ,2,0.4
云A389ZX,1,0.2
云A391XW,1,0.2
云A393FH,1,0.2
云A395UE,1,0.2
云A396HC,1,0.2
云A3A2R9,1,0.2
云A3B18B,1,0.2
云A3C7Q9,1,0.2
云A3D07G,2,0.4
云A3F82M,1,0.2
云A3FG60,1,0.2
云A3G5R8,1,0.2
云A3H07U,4,0.8
云A3H103,1,0.2
云A3H3N9,1,0.2
云A3K0D8,1,0.2
云A3L10N,2,0.4
云A3MG83,1,0.2
云A3N0V0,1,0.2
云A3Q0N6,6,1.2000000000000002
云A3RD90,1,0.2
云A3S5C2,1,0.2
云A3SA05,4,0.8
云A3T1J7,3,0.6000000000000001
云A3T2J1,2,0.4
云A3U3J2,2,0.4
云A3UQ58,1,0.2
云A3V9S5,1,0.2
云A3VL06,1,0.2
云A3W4L5,1,0.2
云A3X37D,1,0.2
云A3XM93,1,0.2
云A3ZR67,1,0.2
云A400CC,4,0.8
云A414WN,1,0.2
云A41N14,1,0.2
云A434ZX,1,0.2
云A480ZD,2,0.4
云A4Z7Z4,1,0.2
云A50L67,2,0.4
云A50Z08,1,0.2
云A512GS,1,0.2
云A51367,1,0.2
云A515CV,1,0.2
云A517MM,1,0.2
云A523TB,4,0.8
云A5353J,1,0.2
云A536UG,2,0.4
云A539BJ,1,0.2
云A53Q68,1,0.2
云A556V5,1,0.2
云A55C66,3,0.6000000000000001
云A55T54,1,0.2
云A55V91,1,0.2
云A561ER,2,0.4
云A571AN,5,1.0
云A58C00,1,0.2
云A58L10,1,0.2
云A58Y15,1,0.2
云A591NV,1,0.2
云A599GA,1,0.2
云A5A2M1,1,0.2
云A5A52T,1,0.2
云A5A54T,2,0.4
云A5A67J,1,0.2
云A5C31B,2,0.4
云A5D50Q,2,0.4
云A5E29V,1,0.2
云A5G68H,5,1.0
云A5GU28,6,1.2000000000000002
云A5H3X9,2,0.4
云A5H89G,3,0.6000000000000001
云A5H8H1,2,0.4
云A5JC83,1,0.2
云A5JG08,2,0.4
云A5L27E,2,0.4
云A5LF25,1,0.2
云A5M0Z2,1,0.2
云A5M256,1,0.2
云A5N2Q2,3,0.6000000000000001
云A5R3S9,4,0.8
云A5T20F,3,0.6000000000000001
云A5UK35,7,1.4000000000000001
云A5VN82,1,0.2
云A5VU88,3,0.6000000000000001
云A5W9B1,2,0.4
云A5X9V6,4,0.8
云A5Y22F,1,0.2
云A5Y56S,1,0.2
云A5Y8B6,3,0.6000000000000001
云A5ZQ08,2,0.4
云A5ZS72,2,0.4
云A630NH,1,0.2
云A640LW,1,0.2
云A65D58,1,0.2
云A65D78,1,0.2
云A6733R,5,1.0
云A673SE,4,0.8
云A680ND,1,0.2
云A697SG,3,0.6000000000000001
云A6A00R,1,0.2
云A6A1H5,2,0.4
云A6A60L,1,0.2
云A6A97D,2,0.4
云A6AS82,2,0.4
云A6B19B,5,1.0
云A6B26U,1,0.2
云A6B3V5,2,0.4
云A6F7N7,1,0.2
云A6F80T,2,0.4
